# target name        accession  query name           accession  hmmfrom hmm to alifrom  ali to envfrom  env to  sq len strand   E-value  score  bias  description of target
#------------------- ---------- -------------------- ---------- ------- ------- ------- ------- ------- ------- ------- ------ --------- ------ ----- ---------------------
Bgt_ctg-35_consensus -          aligned              -             1254    1405 1446306 1446204 1446352 1446183 1673709    -        0.23   10.6   6.2  -
Bgt_ctg-48_consensus -          aligned              -              861     910 1648111 1648160 1648102 1648195 2959386    +         3.4    6.7   1.7  -
#
# Program:         nhmmer
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      output/query.hmm
# Target file:     ../db/blumeria/latest/Bgt_genome_v2_1.fa
# Option settings: nhmmer -o output/nhmmer.txt --tblout output/hmmertbl.tsv output/query.hmm ../db/blumeria/latest/Bgt_genome_v2_1.fa 
# Current dir:     /project/home17/apm114/project3/scripts
# Date:            Thu Jul 12 11:43:02 2018
# [ok]
